uuid,category_name,category_group_list
ae8f68d2-9319-f2c2-3549-4f1ac2851660,3d printing,manufacturing
76c672c1-ef33-72f0-8027-d747c8c6e4ba,3d technology,hardware|software
a60e9792-884d-0696-63f7-a9c0f3100ded,a/b testing,data and analytics
ad091ee0-0259-f129-7777-10f65213584d,accounting,financial services|professional services
1f69cdca-96c4-75ba-97e8-caeef5842a3d,ad network,advertising
3b1e8633-70a5-0f3e-acbd-a5faa1c7b363,ad targeting,advertising
3082b9fa-e0fd-150a-1f2d-a6f8d3515c0c,advanced materials,manufacturing|science and engineering
5d9b1750-8176-20fb-3bc6-f02ea58c7215,adventure travel,travel and tourism
6cb68537-2de1-b041-2ee5-451ff81bccab,advertising,advertising|sales and marketing
755a3876-a84b-866f-a96c-396515fd5eb1,advertising platforms,advertising
c9461eef-9ba2-cb92-0d05-2d2d5f85141c,advice,media and entertainment
8a20023f-3e32-20bb-b6ab-e824a0386367,aerospace,science and engineering
dd6300aa-6e9b-f529-dce7-9552e7f5fdc2,affiliate marketing,advertising|sales and marketing
6a733ac8-b79c-e2d2-55b9-cc3d66435eb6,agriculture,agriculture and farming
fa736a2c-3108-8e06-9adf-fb7a75744f5b,agtech,agriculture and farming
fdbc28f6-7091-1714-42c9-0c6c435b3479,alternative medicine,health care
99c5404c-0ff5-8ee5-d334-4b944ddb8cd9,analytics,data and analytics
3f49498d-20fe-408c-ce0c-5425ee885d74,android,mobile|platforms|software
8e122314-2dde-8ccd-d250-548ee8f87c10,angel investment,financial services|lending and investments
ccb73ca1-4648-8df2-22ae-029e3500f4c1,animal feed,agriculture and farming
9fc4cc26-b3dd-038b-ce64-713b75a91871,app discovery,apps|sales and marketing|software
5de864a5-d563-86e4-bc83-0217ccb643a2,application performance management,data and analytics|software
5e61c8d6-0b40-8d9a-5d29-8142b897593e,app marketing,sales and marketing
af333248-9c7e-50c5-168a-e91b86595a17,apps,apps|software
9ee51d4b-2d79-a32c-479f-668767ad6898,aquaculture,agriculture and farming
dd09c747-194a-1304-b2ba-c467be9226c8,architecture,real estate
631d91d6-9da7-6e50-4eb0-d27e28ed2a7f,art,media and entertainment
c4d8caf3-5fe7-359b-f9f2-2d708378e4ee,artificial intelligence,data and analytics|science and engineering|software
d8cda5ae-af47-b0d1-4a9c-aec87289adc0,asset management,financial services
a3a34a17-be2d-c903-687f-6f1f3e6530ba,assisted living,health care
82086f50-e760-003b-3a54-1649025c93d3,assistive technology,health care
4c05603a-de94-fa09-adb6-7ecde1c12c14,auctions,commerce and shopping
05e1d0a1-c34d-cf1a-c686-5a6466a8151b,audio,media and entertainment|music and audio
351abbd7-efe7-dfb2-59c3-4d608db4d53a,audiobooks,media and entertainment|music and audio
89b9e37a-0dcb-a76e-0816-b69d9b54279c,augmented reality,hardware|software
49f88f02-6018-cdea-a366-abef5d02d8a2,auto insurance,financial services
bb2ad65f-1009-db81-c6f6-83dbcfd64870,automotive,transportation
68250c3a-6cf5-86fb-281e-9072ae2d4fe8,banking,financial services|lending and investments
f71aa2bf-aa05-70ca-9c46-495ef4e4f06c,battery,energy
70bb82f6-1bae-fa71-8c89-66307f6f22cb,beauty,consumer goods
