event_uuid,relationship_to_event,entity_uuid,type,relationship_detail,created_at,updated_at
c5d6a2a1-1765-aa35-a225-f5444c2e28be,sponsor,cc32709a-92ad-3cad-f2af-5f09c02ae696,Organization,,2016-04-12 06:39:26 +0000,2016-04-12 06:39:26 +0000
c5d6a2a1-1765-aa35-a225-f5444c2e28be,sponsor,b760ea5d-69c4-2ad8-1e61-832985e90fbe,Organization,,2016-04-12 06:36:37 +0000,2016-04-12 06:36:37 +0000
76085ede-ea0c-0818-6e44-6cd18597c44b,sponsor,3c9ac2dd-0c64-dc4d-7b31-9228169afb04,Organization,,2016-04-10 20:15:10 +0000,2016-04-10 20:15:10 +0000
0ce89232-8861-bd67-c308-6c48d27f951e,sponsor,e27d0a0e-8b58-8e28-214f-f2064d5c60af,Organization,,2016-04-10 18:43:47 +0000,2016-04-10 18:43:47 +0000
d00c9616-9151-e7e2-24f4-0368dbb3c7b6,exhibitor,ee956040-e327-4b3d-b202-580065cbec59,Organization,,2016-04-09 12:42:04 +0000,2016-04-09 12:42:04 +0000
d00c9616-9151-e7e2-24f4-0368dbb3c7b6,exhibitor,382d631b-98ae-82f3-65ae-be0577d92e07,Organization,,2016-04-09 12:39:10 +0000,2016-04-09 12:39:10 +0000
d00c9616-9151-e7e2-24f4-0368dbb3c7b6,speaker,c5918352-94cc-2542-b708-641980df2a1a,Person,,2016-03-26 03:11:38 +0000,2016-04-06 22:36:26 +0000
c5d6a2a1-1765-aa35-a225-f5444c2e28be,sponsor,128e1a70-170c-8454-1b01-f8c6c119f64d,Organization,,2016-04-05 06:04:01 +0000,2016-04-05 06:04:01 +0000
c5d6a2a1-1765-aa35-a225-f5444c2e28be,sponsor,380d0ea9-ddae-5dd7-da5c-43b60a4b682b,Organization,,2016-04-05 06:03:07 +0000,2016-04-05 06:03:07 +0000
c5d6a2a1-1765-aa35-a225-f5444c2e28be,sponsor,26e68173-12a9-8f23-4d2f-cf80fa1abc1c,Organization,,2016-04-05 06:02:47 +0000,2016-04-05 06:02:47 +0000
c5d6a2a1-1765-aa35-a225-f5444c2e28be,sponsor,3e1047fe-b275-cba7-da9a-8894bf0472e6,Organization,,2016-04-05 06:02:19 +0000,2016-04-05 06:02:19 +0000
c5d6a2a1-1765-aa35-a225-f5444c2e28be,sponsor,982999b1-9718-066a-58cb-b1d2b269575f,Organization,,2016-04-05 06:02:04 +0000,2016-04-05 06:02:04 +0000
c5d6a2a1-1765-aa35-a225-f5444c2e28be,sponsor,0eb819a3-efb2-137b-57de-6e5f4b613772,Organization,,2016-04-05 06:01:46 +0000,2016-04-05 06:01:46 +0000
c5d6a2a1-1765-aa35-a225-f5444c2e28be,sponsor,bd23a50d-2ae3-be33-2a35-383ea9ed13fd,Organization,,2016-04-05 06:01:29 +0000,2016-04-05 06:01:29 +0000
c5d6a2a1-1765-aa35-a225-f5444c2e28be,organizer,9a363e87-b699-e810-5cfb-f1a7c61255a0,Organization,,2016-04-05 05:59:12 +0000,2016-04-05 05:59:12 +0000
c5d6a2a1-1765-aa35-a225-f5444c2e28be,ntinmarket,292d82c5-5381-9717-827f-3122ee792e71,Market,,2016-04-05 05:58:32 +0000,2016-04-05 05:58:32 +0000
c5d6a2a1-1765-aa35-a225-f5444c2e28be,ntinmarket,dbca89fa-f083-5438-b4ad-d3fdeceb78e7,Market,,2016-04-05 05:58:21 +0000,2016-04-05 05:58:21 +0000
c5d6a2a1-1765-aa35-a225-f5444c2e28be,venue,6d5007e4-c320-1791-7b17-6b54251dbd18,Address,,2016-04-05 05:57:38 +0000,2016-04-05 05:57:38 +0000
c5d6a2a1-1765-aa35-a225-f5444c2e28be,venue,5005961a-5174-34b8-227c-af24f4f63444,Address,,2016-04-05 05:57:37 +0000,2016-04-05 05:57:37 +0000
78996473-3188-c99a-5d93-26c57dc9e5d6,sponsor,828786c4-3967-ff53-c39d-2dc25c690342,Organization,,2016-04-05 05:53:39 +0000,2016-04-05 05:53:39 +0000
78996473-3188-c99a-5d93-26c57dc9e5d6,sponsor,fc5fbe7a-562d-d577-b05e-46797caa134c,Organization,,2016-04-05 05:52:53 +0000,2016-04-05 05:52:53 +0000
78996473-3188-c99a-5d93-26c57dc9e5d6,sponsor,3e1047fe-b275-cba7-da9a-8894bf0472e6,Organization,,2016-04-05 05:52:15 +0000,2016-04-05 05:52:15 +0000
78996473-3188-c99a-5d93-26c57dc9e5d6,sponsor,982999b1-9718-066a-58cb-b1d2b269575f,Organization,,2016-04-05 05:51:39 +0000,2016-04-05 05:51:39 +0000
78996473-3188-c99a-5d93-26c57dc9e5d6,sponsor,0eb819a3-efb2-137b-57de-6e5f4b613772,Organization,,2016-04-05 05:51:25 +0000,2016-04-05 05:51:25 +0000
78996473-3188-c99a-5d93-26c57dc9e5d6,sponsor,bd23a50d-2ae3-be33-2a35-383ea9ed13fd,Organization,,2016-04-05 05:51:00 +0000,2016-04-05 05:51:00 +0000
78996473-3188-c99a-5d93-26c57dc9e5d6,ntinmarket,292d82c5-5381-9717-827f-3122ee792e71,Market,,2016-04-05 05:48:15 +0000,2016-04-05 05:48:15 +0000
78996473-3188-c99a-5d93-26c57dc9e5d6,ntinmarket,dbca89fa-f083-5438-b4ad-d3fdeceb78e7,Market,,2016-04-05 05:47:48 +0000,2016-04-05 05:47:48 +0000
78996473-3188-c99a-5d93-26c57dc9e5d6,organizer,9a363e87-b699-e810-5cfb-f1a7c61255a0,Organization,,2016-04-05 05:47:05 +0000,2016-04-05 05:47:05 +0000
78996473-3188-c99a-5d93-26c57dc9e5d6,venue,46991722-b7dd-c888-c0bb-a64581742047,Address,,2016-04-05 05:46:28 +0000,2016-04-05 05:46:28 +0000
78996473-3188-c99a-5d93-26c57dc9e5d6,venue,b039abb7-ff90-1eeb-26b7-c6672806ceef,Address,,2016-04-05 05:46:27 +0000,2016-04-05 05:46:27 +0000
728cfe79-d4ce-aaac-71fa-e6491df13755,sponsor,228b6cb8-5e93-b671-1062-5eb974b31407,Organization,,2016-04-05 05:42:10 +0000,2016-04-05 05:42:10 +0000
728cfe79-d4ce-aaac-71fa-e6491df13755,sponsor,3e1047fe-b275-cba7-da9a-8894bf0472e6,Organization,,2016-04-05 05:40:49 +0000,2016-04-05 05:40:49 +0000
728cfe79-d4ce-aaac-71fa-e6491df13755,ntinmarket,dbca89fa-f083-5438-b4ad-d3fdeceb78e7,Market,,2016-04-05 05:37:39 +0000,2016-04-05 05:37:39 +0000
0fa3a591-a944-5358-5065-5faf6c30a597,sponsor,05554f65-6aa9-4dd1-6271-8ce2d60f10c4,Organization,,2016-04-05 05:31:59 +0000,2016-04-05 05:31:59 +0000
0fa3a591-a944-5358-5065-5faf6c30a597,sponsor,380d0ea9-ddae-5dd7-da5c-43b60a4b682b,Organization,,2016-04-05 05:30:42 +0000,2016-04-05 05:30:42 +0000
0fa3a591-a944-5358-5065-5faf6c30a597,sponsor,c856cdcd-19e7-dde5-3de5-a13c448bc8bb,Organization,,2016-04-05 05:29:58 +0000,2016-04-05 05:29:58 +0000
0fa3a591-a944-5358-5065-5faf6c30a597,sponsor,3e1047fe-b275-cba7-da9a-8894bf0472e6,Organization,,2016-04-05 05:29:30 +0000,2016-04-05 05:29:30 +0000
0fa3a591-a944-5358-5065-5faf6c30a597,sponsor,982999b1-9718-066a-58cb-b1d2b269575f,Organization,,2016-04-05 05:29:14 +0000,2016-04-05 05:29:14 +0000
0fa3a591-a944-5358-5065-5faf6c30a597,sponsor,0eb819a3-efb2-137b-57de-6e5f4b613772,Organization,,2016-04-05 05:29:01 +0000,2016-04-05 05:29:01 +0000
0fa3a591-a944-5358-5065-5faf6c30a597,sponsor,bd23a50d-2ae3-be33-2a35-383ea9ed13fd,Organization,,2016-04-05 05:28:40 +0000,2016-04-05 05:28:40 +0000
0fa3a591-a944-5358-5065-5faf6c30a597,organizer,9a363e87-b699-e810-5cfb-f1a7c61255a0,Organization,,2016-04-05 05:27:07 +0000,2016-04-05 05:27:07 +0000
0fa3a591-a944-5358-5065-5faf6c30a597,ntinmarket,292d82c5-5381-9717-827f-3122ee792e71,Market,,2016-04-05 05:26:36 +0000,2016-04-05 05:26:36 +0000
0fa3a591-a944-5358-5065-5faf6c30a597,ntinmarket,dbca89fa-f083-5438-b4ad-d3fdeceb78e7,Market,,2016-04-05 05:26:14 +0000,2016-04-05 05:26:14 +0000
0fa3a591-a944-5358-5065-5faf6c30a597,venue,856bf0fa-c65a-3f4b-21b7-a9891df4ad59,Address,,2016-04-05 05:24:46 +0000,2016-04-05 05:24:46 +0000
0fa3a591-a944-5358-5065-5faf6c30a597,venue,ecb2e2d1-8940-4ba0-e46e-5de71ac9e6f6,Address,,2016-04-05 05:24:46 +0000,2016-04-05 05:24:46 +0000
55f69a8d-9636-21a6-2418-1b366c34d457,sponsor,09b3ff5a-59f0-2b86-e678-d336318464a4,Organization,,2016-04-05 05:14:02 +0000,2016-04-05 05:14:02 +0000
55f69a8d-9636-21a6-2418-1b366c34d457,sponsor,3e1047fe-b275-cba7-da9a-8894bf0472e6,Organization,,2016-04-05 04:56:04 +0000,2016-04-05 04:56:04 +0000
55f69a8d-9636-21a6-2418-1b366c34d457,sponsor,982999b1-9718-066a-58cb-b1d2b269575f,Organization,,2016-04-05 04:55:40 +0000,2016-04-05 04:55:40 +0000
55f69a8d-9636-21a6-2418-1b366c34d457,sponsor,0eb819a3-efb2-137b-57de-6e5f4b613772,Organization,,2016-04-05 04:55:27 +0000,2016-04-05 04:55:27 +0000
55f69a8d-9636-21a6-2418-1b366c34d457,sponsor,bd23a50d-2ae3-be33-2a35-383ea9ed13fd,Organization,,2016-04-05 04:55:10 +0000,2016-04-05 04:55:10 +0000
55f69a8d-9636-21a6-2418-1b366c34d457,organizer,9a363e87-b699-e810-5cfb-f1a7c61255a0,Organization,,2016-04-05 04:53:00 +0000,2016-04-05 04:53:00 +0000
