funding_round_uuid,investor_uuid,is_lead_investor
1637e281-e23d-cca8-0552-1c5588360bf2,3f84af76-a812-49c0-a05f-e45db4b2ef53,f
1637e281-e23d-cca8-0552-1c5588360bf2,b51ff078-c9d9-9f51-681d-4f9ac888e070,f
1637e281-e23d-cca8-0552-1c5588360bf2,063c79a5-a008-493a-a633-913d64963b7e,t
1637e281-e23d-cca8-0552-1c5588360bf2,4e0cf914-3a8e-c3c2-4ef8-ee6f5e8fdb47,f
1637e281-e23d-cca8-0552-1c5588360bf2,ac53f2c3-4fd6-45c3-3a21-966c4d950f8f,f
1637e281-e23d-cca8-0552-1c5588360bf2,8ca0a6a5-15ba-2e62-3d45-eac4cb4d41de,f
62f440bd-6ec1-9b9b-8451-83c2f0703077,eea9f05b-1141-4162-2ed7-e14a8610e407,f
62f440bd-6ec1-9b9b-8451-83c2f0703077,e2cfbda4-a48f-2427-8607-2fff986a7166,f
62f440bd-6ec1-9b9b-8451-83c2f0703077,95e63abc-3894-2db7-fd58-34c2238f0373,f
62f440bd-6ec1-9b9b-8451-83c2f0703077,f2ff09b3-343c-67b1-2469-6ab0cfed43b9,f
62f440bd-6ec1-9b9b-8451-83c2f0703077,12d6cf31-c49f-bcd4-1443-99640c587982,f
62f440bd-6ec1-9b9b-8451-83c2f0703077,49a2ea46-f776-b200-18d7-4f7690e8dc05,f
a6dd0dd6-b0bb-1be9-adf7-50abc6317d92,3ff19d6c-9e5f-76a6-a7da-39443dde9ccd,f
a6dd0dd6-b0bb-1be9-adf7-50abc6317d92,36fef7a1-00de-4356-d24b-a56860f2c49e,t
a6dd0dd6-b0bb-1be9-adf7-50abc6317d92,bd4409bf-074d-e7eb-0219-175f7e3ae8d4,f
a6dd0dd6-b0bb-1be9-adf7-50abc6317d92,02bbcdef-5cd9-4faf-5f75-26d42e8e03ea,f
a6dd0dd6-b0bb-1be9-adf7-50abc6317d92,6a07f4d6-5301-5965-3918-148ee106b0d1,f
a6dd0dd6-b0bb-1be9-adf7-50abc6317d92,6a7066ef-82d7-2adc-5dc0-31776aa12556,t
a6dd0dd6-b0bb-1be9-adf7-50abc6317d92,ce8672a2-617b-3f20-8a0a-c44f36c098bd,t
a6dd0dd6-b0bb-1be9-adf7-50abc6317d92,127ed842-afe7-d9d7-fba9-bd02012c2121,f
47a5abd8-2400-ab57-1ed6-ff343f6d923b,5269dcbf-6bbc-9288-3cd8-5b1e06b93a39,f
47a5abd8-2400-ab57-1ed6-ff343f6d923b,3ca5eb2f-0eed-a808-2354-12c35d397743,f
47a5abd8-2400-ab57-1ed6-ff343f6d923b,2eb33b03-adae-0c06-6622-30beff34bcf1,f
47a5abd8-2400-ab57-1ed6-ff343f6d923b,754329f1-ee02-70c3-a2a8-2a1b050b4a83,f
47a5abd8-2400-ab57-1ed6-ff343f6d923b,63501557-a463-15cc-233f-28ed93ba3165,f
ff4435b0-a127-38e0-bb1e-d326fc37abb9,62cf69d8-ac84-4906-2f2a-0661451d70da,f
ff4435b0-a127-38e0-bb1e-d326fc37abb9,fd0c6051-176b-b3a6-2124-b071945d3b02,f
ff4435b0-a127-38e0-bb1e-d326fc37abb9,0cc37f28-236f-0884-0096-980403e1eaa6,f
ff4435b0-a127-38e0-bb1e-d326fc37abb9,ac41030f-c20d-0060-3f0a-37f0eee13779,f
ff4435b0-a127-38e0-bb1e-d326fc37abb9,2c8502f9-cf1a-7b91-9f10-7976a1bf753a,f
ff4435b0-a127-38e0-bb1e-d326fc37abb9,d4948544-4903-3c5f-bad5-e78fc745b14d,f
ff4435b0-a127-38e0-bb1e-d326fc37abb9,9dd7066b-069a-9dd9-c211-06db31253bd0,f
ff4435b0-a127-38e0-bb1e-d326fc37abb9,20253e87-3e9e-84a0-bc1e-f9ca8c4c05c4,f
ff4435b0-a127-38e0-bb1e-d326fc37abb9,8cfddd6c-3092-27ce-e9e2-fe740e1c23b6,f
ff4435b0-a127-38e0-bb1e-d326fc37abb9,f899322c-8007-0984-d27f-4caf5031a238,f
6d0881ed-3aff-b85f-50d1-1bf530004868,3aabde79-36dd-df3e-7ef1-644d0a2105aa,f
6d0881ed-3aff-b85f-50d1-1bf530004868,8ca77695-b2ff-b12e-9e8f-3579fcf70ca6,f
6d0881ed-3aff-b85f-50d1-1bf530004868,76c506a0-a56e-2f7b-9c15-2c4740ca51e1,f
6d0881ed-3aff-b85f-50d1-1bf530004868,d6df154d-9e00-e593-1944-249fe9887187,f
6d0881ed-3aff-b85f-50d1-1bf530004868,b08efc27-da40-505a-6f9d-c9e14247bf36,t
6d0881ed-3aff-b85f-50d1-1bf530004868,d5df3873-7871-c608-0284-c74d0b555ccd,f
6d0881ed-3aff-b85f-50d1-1bf530004868,7a42b564-4bb6-5864-6cdb-a0100008f3b3,f
b02ec57b-c87a-6a60-5475-f2536e6ca9cc,56e40f50-97c7-2a77-255d-1d97d5f30646,f
b02ec57b-c87a-6a60-5475-f2536e6ca9cc,c99d660a-a1de-5772-be42-09824787bd30,f
b02ec57b-c87a-6a60-5475-f2536e6ca9cc,4a97f042-2d36-c628-178a-afbb0945a362,t
b02ec57b-c87a-6a60-5475-f2536e6ca9cc,ecc2c321-b26e-f476-2b0b-0949c4d58853,f
b02ec57b-c87a-6a60-5475-f2536e6ca9cc,ad4e3101-a139-9a76-c34d-4d43bc565c33,f
b02ec57b-c87a-6a60-5475-f2536e6ca9cc,d0a6043b-7164-af60-1063-e3314c6d9d95,f
c28750eb-05ca-7113-1986-98e242c69063,fe91baad-d472-0d0a-7425-ac3116dc43cd,f
c28750eb-05ca-7113-1986-98e242c69063,d7c11a0f-a29a-f36d-2bba-4c8aa38711f4,f
c28750eb-05ca-7113-1986-98e242c69063,af40b73e-ff76-cf36-78bd-696c5899f8c0,f
c28750eb-05ca-7113-1986-98e242c69063,0a86c489-0b01-e1b9-c355-d8c1f4a96316,f
c28750eb-05ca-7113-1986-98e242c69063,55df2b0b-b6b2-7ce3-8e0b-425d0aa43cc5,f
c28750eb-05ca-7113-1986-98e242c69063,0989ecf9-7191-4a8e-0192-88dd96ebb354,f
