investor_name,domain,country_code,state_code,region,city,investor_type,investment_count,founded_on,closed_on,cb_url,twitter_url,facebook_url,uuid
Sequoia Capital,sequoiacap.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,1158,1972-11-01,,https://www.crunchbase.com/organization/sequoia-capital,https://www.twitter.com/sequoia,http://www.facebook.com/sequoiacap,0c867fde-2b9a-df10-fdb9-66b74f355f91
500 Startups,500.co,USA,CA,SF Bay Area,Mountain View,accelerator,1061,2010-04-01,,https://www.crunchbase.com/organization/500-startups,https://www.twitter.com/500startups,http://www.facebook.com/500startups,56e40f50-97c7-2a77-255d-1d97d5f30646
New Enterprise Associates,nea.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,1028,1977-01-01,,https://www.crunchbase.com/organization/new-enterprise-associates,https://www.twitter.com/neavc,http://www.facebook.com/neavc,47b84763-9727-7cdf-b194-2742e3963147
Y Combinator,ycombinator.com,USA,CA,SF Bay Area,Mountain View,accelerator,970,2005-03-01,,https://www.crunchbase.com/organization/y-combinator,https://www.twitter.com/ycombinator,http://www.facebook.com/ycombinator,73633ee4-ea65-2967-6c5d-9b5fec7d2d5e
Intel Capital,intelcapital.com,USA,CA,SF Bay Area,Santa Clara,corporate_venture_capital,969,1991-01-01,,https://www.crunchbase.com/organization/intel-capital,https://www.twitter.com/intelcapital,,f3716725-552d-b9b5-59ad-de4ec64b1751
Wayra,wayra.co,ESP,,Madrid,Madrid,accelerator,936,2011-04-09,,https://www.crunchbase.com/organization/wayra,https://www.twitter.com/wayra,http://www.facebook.com/wayra.org,ac41030f-c20d-0060-3f0a-37f0eee13779
Accel,accel.com,USA,CA,SF Bay Area,Palo Alto,venture_capital,871,1983-01-01,,https://www.crunchbase.com/organization/accel-partners,https://www.twitter.com/accel,http://www.facebook.com/accel,b08efc27-da40-505a-6f9d-c9e14247bf36
Kleiner Perkins Caufield & Byers,kpcb.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,798,1972-01-01,,https://www.crunchbase.com/organization/kleiner-perkins-caufield-byers,https://www.twitter.com/kpcb,http://www.facebook.com/kpcbprofile,2d0a5bf0-e53e-9a07-2243-9bcd561421ec
Start-Up Chile,startupchile.org,CHL,,Santiago,Santiago,government_office,730,2010-01-01,,https://www.crunchbase.com/organization/start-up-chile,https://www.twitter.com/startupchile,http://www.facebook.com/startupchile,e26b98e6-3997-577d-eb5b-a195e31d03e3
Draper Fisher Jurvetson (DFJ),dfj.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,667,1985-10-01,,https://www.crunchbase.com/organization/draper-fisher-jurvetson,https://www.twitter.com/dfjvc,http://www.facebook.com/dfj,ac53f2c3-4fd6-45c3-3a21-966c4d950f8f
SV Angel,svangel.com,USA,CA,SF Bay Area,San Francisco,micro_vc,657,2009-01-01,,https://www.crunchbase.com/organization/sv-angel,https://www.twitter.com/svangel,https://www.facebook.com/svangelfirm,902deab4-ec41-68ce-d9df-c0c959578176
Techstars,techstars.com,USA,CO,Denver,Boulder,accelerator,613,2006-10-01,,https://www.crunchbase.com/organization/techstars,https://www.twitter.com/techstars,http://www.facebook.com/techstars,3718597a-dd39-6661-3630-09cdd43bcac2
Bessemer Venture Partners,bvp.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,539,1911-01-01,,https://www.crunchbase.com/organization/bessemer-venture-partners,https://www.twitter.com/bessemervp,http://www.facebook.com/bessemervp,beadb218-e5fa-2686-bc95-4dfaa9acc2e8
SOSV,sosv.com,USA,NJ,Newark,Princeton,accelerator,514,1995-01-01,,https://www.crunchbase.com/organization/sosventures,https://www.twitter.com/sosvvc,https://www.facebook.com/sosvvc/,39041e62-6b24-ae8d-1347-4cea947e832c
First Round,firstround.com,USA,CA,SF Bay Area,San Francisco,venture_capital,506,2004-11-01,,https://www.crunchbase.com/organization/first-round-capital,https://www.twitter.com/firstround,http://www.facebook.com/firstroundcapital,043d9e52-dcc0-0dd8-6074-206e42e20e13
Index Ventures,indexventures.com,CHE,,Geneva,Geneva,venture_capital,500,1996-01-01,,https://www.crunchbase.com/organization/index-ventures,https://www.twitter.com/indexventures,,60b5dade-24ed-84b0-99e2-1ecda554a1ab
Lightspeed Venture Partners,lsvp.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,467,2000-01-01,,https://www.crunchbase.com/organization/lightspeed-venture-partners,https://www.twitter.com/lightspeedvp,http://www.facebook.com/lightspeed,d5df3873-7871-c608-0284-c74d0b555ccd
Right Side Capital Management,rightsidecapital.com,USA,CA,SF Bay Area,San Francisco,micro_vc,463,2012-01-01,,https://www.crunchbase.com/organization/right-side-capital-management,,,3bfb69a8-61b6-ec30-1512-73bd1ca35bc5
Benchmark,benchmark.com,USA,CA,SF Bay Area,San Francisco,venture_capital,460,1995-01-01,,https://www.crunchbase.com/organization/benchmark,https://www.twitter.com/benchmark,http://www.facebook.com/benchmark,fe2d1e8b-f607-3c9f-fad7-98fb8412f77e
Greylock Partners,greylock.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,460,1965-10-01,,https://www.crunchbase.com/organization/greylock,https://www.twitter.com/greylockvc,http://www.facebook.com/greylock,e2006571-6b7a-e477-002a-f7014f48a7e3
Venrock,venrock.com,USA,CA,SF Bay Area,Palo Alto,venture_capital,452,1969-01-01,,https://www.crunchbase.com/organization/venrock,https://www.twitter.com/venrock,http://www.facebook.com/venrock,ed24f9ce-2313-cb8c-8ff2-9de6899ea992
Goldman Sachs,goldmansachs.com,USA,NY,New York City,New York,investment_bank,445,1869-01-01,,https://www.crunchbase.com/organization/goldman-sachs,https://www.twitter.com/goldmansachs,https://www.facebook.com/goldmansachs,30b3efdf-6024-804d-ea55-c4d1a8dfc86c
Andreessen Horowitz,a16z.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,443,2009-07-06,,https://www.crunchbase.com/organization/andreessen-horowitz,https://www.twitter.com/a16z,http://www.facebook.com/andreessenhorowitz,ce91bad7-b6d8-e56e-0f45-4763c6c5ca29
High-Tech Gruenderfonds,high-tech-gruenderfonds.de,DEU,,Bonn,Bonn,venture_capital,442,2005-09-01,,https://www.crunchbase.com/organization/high-tech-gruenderfonds,https://www.twitter.com/htgf,http://www.facebook.com/htgf.vc,2ca323e0-fbcc-f738-a7a1-86b6322788bd
