name,country_code,company_state_code,region,city,stock_exchange_symbol,stock_symbol,went_public_on,price_usd,price,price_currency_code,cb_url,ipo_uuid,uuid
Qunar.com,CHN,,Beijing,Beijing,NASDAQ,QUNR,2013-11-01,,,,https://www.crunchbase.com/organization/qunar-com,1b303591-3165-e86f-2bfd-4ae76772a066,17e90298-e3cb-b83c-feb2-0cbb6a27622c
The Container Store,USA,TX,Dallas,Coppell,NYSE,TCS,2013-11-01,828862470,,,https://www.crunchbase.com/organization/the-container-store,d243ff6c-bbff-239f-216d-50aa0bb47506,0f41b6ae-de3d-7110-ba1d-159a894d522e
The Container Store,USA,TX,Dallas,Coppell,,TCS,2013-11-01,,,,https://www.crunchbase.com/organization/the-container-store,78d3e309-0a38-6a6c-3786-1cc6a839bfb5,0f41b6ae-de3d-7110-ba1d-159a894d522e
58.com,CHN,,CHN - Other,Chaoyang,NYSE,WUBA,2013-10-31,187000000,,,https://www.crunchbase.com/organization/58-com,f75c7310-44da-c0ab-d0e9-47798463af7e,2934f57c-f114-eecb-6902-6a4481ec392f
Brixmor Property Group,USA,NY,New York City,New York,NYSE,BRX,2013-10-31,,,,https://www.crunchbase.com/organization/brixmor-property-group,dd3bb47d-9c71-ac23-7c98-75154ae00e20,1640febb-b884-7749-c15c-391348fdf9f7
Brixmor Property Group,USA,NY,New York City,New York,NYSE,BRX,2013-10-31,,,,https://www.crunchbase.com/organization/brixmor-property-group,6ba841a0-3145-43b7-b03f-949d67d496db,1640febb-b884-7749-c15c-391348fdf9f7
Essent Group,BMU,,Bermuda,Hamilton,NYSE,ESNT,2013-10-31,,,,https://www.crunchbase.com/organization/essent-group,8730ef19-a092-1eb0-bb17-b0763c2a699a,6701d36b-fd48-0024-f977-827801e89aa2
Criteo,FRA,,Paris,Paris-l'hopital,NASDAQ,CRTO,2013-10-30,1700000000,,,https://www.crunchbase.com/organization/criteo,f3f4523a-369e-fb26-998e-76208e98a789,9f638203-0386-0266-081a-e40eebdde79e
Surgical Care Affiliates,USA,AL,Birmingham,Birmingham,NASDAQ,SCAI,2013-10-30,,,,https://www.crunchbase.com/organization/surgical-care-affiliates,13c1c8c6-a9df-69c2-669d-ea5e174d5b2e,c3872313-7729-00d0-80e9-846c494404d1
Veracyte,USA,CA,SF Bay Area,South San Francisco,,VCYT,2013-10-30,,,,https://www.crunchbase.com/organization/veracyte,d5dcec12-127d-61b7-a8db-2d42bba5f95e,0c247e85-1cd2-9457-5974-563d02e99bf9
Aerie Pharmaceuticals,USA,NJ,Newark,Bedminster,,AERI,2013-10-25,,,,https://www.crunchbase.com/organization/aerie-pharmaceuticals,bbd7e3ac-0f3b-3118-8e37-8f1ab4653a5d,b859005a-2068-9968-0e9b-5e02f80ebd81
CommScope,USA,TX,Dallas,Richardson,NASDAQ,COMM,2013-10-25,2784807450,,,https://www.crunchbase.com/organization/commscope-enterprise-solutions,b6b5decc-9742-d5cd-7a39-b587da517564,6e7213af-1151-0c25-e5d7-41bd51f66be8
Endurance International,USA,MA,Boston,Burlington,NASDAQ,EIGI,2013-10-25,1514859792,,,https://www.crunchbase.com/organization/endurance-international,b62850d3-c7c9-fa29-a3c0-753475815ce3,b8098f51-76cd-e4c4-9f05-8bf4a6951ac4
