person_uuid,org_uuid,started_on,ended_on,is_current,title,job_role,executive_role,advisory_role
f1dec1f1-60fd-e540-ddc4-9923723093c4,e6b42699-577a-0114-49ee-f9a0136c021a,2016-04-12 00:00:00 +0000,,t,Founder | CEO,t,t,f
f1dec1f1-60fd-e540-ddc4-9923723093c4,71e081d4-c10d-efff-8863-4397c8b80e8b,2015-01-15 00:00:00 +0000,,t,CEO | Lead Trainer,t,t,f
4cad2d9e-de31-dd02-88d4-8d334a0f04ee,a3601932-eb8c-cb9a-43e1-c6031d5e16de,2011-01-01 00:00:00 +0000,2013-01-01 00:00:00 +0000,f,Marketing Director,f,f,t
4cad2d9e-de31-dd02-88d4-8d334a0f04ee,932fc0bb-f449-34ac-d6cd-7766fc2eccdd,2016-04-11 00:00:00 +0000,,t,CEO,t,t,f
4cad2d9e-de31-dd02-88d4-8d334a0f04ee,f1230387-056c-5e7d-c60b-09773366d747,1991-11-01 00:00:00 +0000,1997-06-01 00:00:00 +0000,f,President,t,t,f
4cad2d9e-de31-dd02-88d4-8d334a0f04ee,c07dab8b-515b-3c5d-3097-20f5ce78a42a,1993-10-01 00:00:00 +0000,1994-12-20 00:00:00 +0000,f,President,t,t,f
4cad2d9e-de31-dd02-88d4-8d334a0f04ee,dabcb508-f9f1-2735-15aa-4a6f7fe3418a,1995-07-01 00:00:00 +0000,2016-04-08 00:00:00 +0000,f,CEO,t,t,f
4cad2d9e-de31-dd02-88d4-8d334a0f04ee,aa3dcd48-4a3a-8654-4098-6adb927fd863,2013-01-01 00:00:00 +0000,2013-06-01 00:00:00 +0000,f,Business Development,t,f,f
93469c95-5ed2-1152-5cb8-112786503565,09d48324-56a7-feb6-ac1e-a6c4004bea83,2006-10-15 00:00:00 +0000,2013-12-10 00:00:00 +0000,f,Sr. Marketing Manager,t,t,f
93469c95-5ed2-1152-5cb8-112786503565,87c06a4b-32c7-b856-fe38-ca6678cc82f0,2015-03-15 00:00:00 +0000,2016-04-15 00:00:00 +0000,f,Head of Marketing and User Acquisition,t,f,f
93469c95-5ed2-1152-5cb8-112786503565,87c06a4b-32c7-b856-fe38-ca6678cc82f0,2016-04-15 00:00:00 +0000,,t,CMO,t,t,f
b86322f6-e382-098e-47f5-ccc6e3aa04e1,e1037d6b-e389-e885-3031-8ed7f5e07eb0,2016-04-15 00:00:00 +0000,,t,Advisor,f,f,t
5a697a39-2770-7faf-4444-c64cb32abbef,a092b9f5-dd65-f4ba-fa48-d70ba9bbe4b3,2016-04-11 00:00:00 +0000,,t,Business Development & Operations Associate,t,f,f
7d983347-b3f7-4b77-6bb5-55b4ee0a207a,557d6676-fc1a-33f0-656b-9871f4a66438,2016-04-16 00:00:00 +0000,,t,Advisory committee,t,t,f
2f6b7f45-c7ab-7018-5693-55d8e1c6d426,eeea6da7-d6e7-247f-4e82-a5f35a560123,2016-04-11 00:00:00 +0000,,t,CO,f,f,t
2f6b7f45-c7ab-7018-5693-55d8e1c6d426,eeea6da7-d6e7-247f-4e82-a5f35a560123,2016-04-11 00:00:00 +0000,,t,CO,f,f,t
235fcecd-cf5e-b7e4-6b82-9c07892108d7,eeea6da7-d6e7-247f-4e82-a5f35a560123,2016-04-11 00:00:00 +0000,,t,Co-Founder,t,t,f
baa82b1e-fcde-a764-121e-446ec3bc1e51,eeea6da7-d6e7-247f-4e82-a5f35a560123,2016-04-11 00:00:00 +0000,,t,Co-Founder,f,f,t
eb1f3c3e-381c-17c0-fc0b-9a928421ad6b,1ed9c7d7-1db3-73f5-6783-415c33806cba,2016-04-14 00:00:00 +0000,,t,Co-Founder,t,t,f
be8223a8-f933-118b-aa50-b9bce15ca740,ed3cf4ed-3117-0977-0aeb-adf4a6105e15,2016-04-13 00:00:00 +0000,,t,Partner,t,t,f
66ff47e1-06b9-8b26-a7e8-70472828c411,21a94b80-8847-fa92-c927-b79b7df1bb06,2016-04-11 00:00:00 +0000,,t,Vice President Strategy,t,t,f
66ff47e1-06b9-8b26-a7e8-70472828c411,21a94b80-8847-fa92-c927-b79b7df1bb06,2013-09-01 00:00:00 +0000,2016-04-10 00:00:00 +0000,f,Sr. Director Corporate Strategy,t,t,f
19cfca6c-1b19-8e28-eb9d-18de69a5a80b,d1f81369-552c-fd8e-ab34-115eecae973e,2014-01-01 00:00:00 +0000,,t,"Chancellor, CEO",t,f,f
19cfca6c-1b19-8e28-eb9d-18de69a5a80b,3393d01b-a662-6e23-ba6a-3c9393c4e73e,2016-04-14 00:00:00 +0000,,t,Member,t,f,f
77894626-b85d-a54c-2e2a-384a6ac4715a,3393d01b-a662-6e23-ba6a-3c9393c4e73e,2016-04-13 00:00:00 +0000,,t,Member,t,f,f
3c975334-1ecf-e191-2cac-74bd1172296e,8e94b29d-5d32-fe63-151b-b3b5ccae0e3f,2016-04-10 00:00:00 +0000,,t,CEO,t,t,f
c176f75f-1def-324a-28d2-2117170dbaff,c3728d65-6398-2ddc-5a91-f86465c12fb1,2016-04-13 00:00:00 +0000,,t,Advisor,f,f,t
2f6b7f45-c7ab-7018-5693-55d8e1c6d426,eeea6da7-d6e7-247f-4e82-a5f35a560123,2016-04-11 00:00:00 +0000,,t,Co-Founder,t,t,f
2f6b7f45-c7ab-7018-5693-55d8e1c6d426,eeea6da7-d6e7-247f-4e82-a5f35a560123,2016-04-11 00:00:00 +0000,,t,Co-Founder,t,t,f
4e660b97-17e2-5f88-d5e3-702a150eef0f,eeea6da7-d6e7-247f-4e82-a5f35a560123,2016-04-11 00:00:00 +0000,,t,Chairman,f,f,t
4e660b97-17e2-5f88-d5e3-702a150eef0f,eeea6da7-d6e7-247f-4e82-a5f35a560123,2016-04-11 00:00:00 +0000,,t,Chairman,f,f,t
4e660b97-17e2-5f88-d5e3-702a150eef0f,eeea6da7-d6e7-247f-4e82-a5f35a560123,2016-04-11 00:00:00 +0000,,t,Co-Founder,t,f,f
4e660b97-17e2-5f88-d5e3-702a150eef0f,eeea6da7-d6e7-247f-4e82-a5f35a560123,2016-04-11 00:00:00 +0000,,t,Co-Founder,t,f,f
c8db21d9-cf44-8ef9-8736-ae4e3d28896b,3718597a-dd39-6661-3630-09cdd43bcac2,2016-04-12 00:00:00 +0000,,t,"Director, Atlanta",t,t,f
48f99d19-0907-7e94-2dc4-d87217ca5675,85dc0026-64ca-5706-8213-3b74b4281a3d,2016-04-12 00:00:00 +0000,,t,Partner,t,t,f
52f14917-c542-6679-cafe-913dc0740e0d,b2788a2e-1956-6c1b-5db9-7a5391a921ce,2016-04-12 00:00:00 +0000,,t,Managing Director and Member of Sponsor Coverage Group,t,t,f
52f14917-c542-6679-cafe-913dc0740e0d,6c1ba9f0-be35-61a9-cf9b-b80e5445bfbb,,,f,"Senior Advisor, Broadcasting, Newspapers & Sports",t,f,f
3134547d-0c9f-39d6-9645-7645ac6a3f48,fb6fd6cb-adb7-c95b-88d5-fd7ccef7a92b,,,f,"Executive Vice President, Investor Services",t,f,f
3134547d-0c9f-39d6-9645-7645ac6a3f48,8a787bfa-9fa1-0012-84a9-451b39700c04,2016-04-12 00:00:00 +0000,,t,Board Member,f,f,t
29e96d1b-a29d-d8d7-7ab5-35f2a7007397,13374e7e-f8a5-aa62-9620-bd211907470f,2016-04-12 00:00:00 +0000,,t,Managing Director,t,t,f
ba79a813-1840-b06a-732c-d01d1f3d89d6,b9d7e2c7-2ceb-bffc-6402-d182316785c2,2016-04-11 00:00:00 +0000,,t,Business Development,t,f,f
de7ed001-405e-5434-75c0-f9ff5bf8372c,b9d7e2c7-2ceb-bffc-6402-d182316785c2,2016-04-11 00:00:00 +0000,,t,Software Engineer,t,f,f
be8223a8-f933-118b-aa50-b9bce15ca740,6efb9171-a87b-212d-f399-b0613da7b1c9,2012-09-01 00:00:00 +0000,2016-04-01 00:00:00 +0000,f,Associate,t,t,f
d5c5c8a4-1570-67e9-60c3-d035cc69bbb5,896cbf2d-aa12-da38-6c18-88fb61c2134d,2016-04-10 00:00:00 +0000,,t,Board Advisor,f,f,t
359e64d0-b623-041c-fcc3-ee98aa27fe6f,31532234-352f-17b0-0969-4cb1e202014a,,,t,Independent Director,f,f,t
359e64d0-b623-041c-fcc3-ee98aa27fe6f,1b6e1d3e-3cb6-ed02-2a42-60751ac03c0a,,,t,Co Founder,t,f,f
609bb80d-2eb5-0083-3c63-21e2d9e6f2aa,f42efb42-455f-135f-8974-fa0b1cd6fa10,2016-04-10 00:00:00 +0000,,t,Co Founder,t,f,f
359e64d0-b623-041c-fcc3-ee98aa27fe6f,f42efb42-455f-135f-8974-fa0b1cd6fa10,2016-04-10 00:00:00 +0000,,t,Cofounder,t,f,f
4aa56073-9c87-9877-ed16-265fab208f7e,f42efb42-455f-135f-8974-fa0b1cd6fa10,2016-04-10 00:00:00 +0000,,t,Cofounder,t,f,f
359e64d0-b623-041c-fcc3-ee98aa27fe6f,c6d172f5-5908-4da4-c05d-0465cff7579b,2016-02-20 00:00:00 +0000,,t,Co Founder,t,f,f
609bb80d-2eb5-0083-3c63-21e2d9e6f2aa,1b6e1d3e-3cb6-ed02-2a42-60751ac03c0a,2016-02-20 00:00:00 +0000,,t,Director,f,f,t
4aa56073-9c87-9877-ed16-265fab208f7e,1b6e1d3e-3cb6-ed02-2a42-60751ac03c0a,2016-02-20 00:00:00 +0000,,t,Executive Director,f,f,t
5766e31c-656e-acce-ade9-cf1d9937c292,5a79290b-01b0-156d-8a54-214a9706b818,2016-04-11 00:00:00 +0000,,t,Venture Partner,t,t,f
ff75a22c-9d4f-aa23-6d0f-7f66e86a49bb,5a79290b-01b0-156d-8a54-214a9706b818,2016-04-11 00:00:00 +0000,,t,Partner,t,t,f
ff75a22c-9d4f-aa23-6d0f-7f66e86a49bb,5a79290b-01b0-156d-8a54-214a9706b818,,,f,Venture Partner,t,t,f
5ef9177e-7f02-937f-8821-5333be1a4812,5a79290b-01b0-156d-8a54-214a9706b818,2016-04-11 00:00:00 +0000,,t,Partner,t,t,f
5ef9177e-7f02-937f-8821-5333be1a4812,5a79290b-01b0-156d-8a54-214a9706b818,,,f,Investment Professionals,t,f,f
93e6c5a2-f350-b5cc-f77a-d8532e0b8e72,ba799a34-568c-acad-af29-f62af9ed5a33,2016-04-11 00:00:00 +0000,,t,Associate VP for Entrepreneurship and Innovation,t,t,f
93e6c5a2-f350-b5cc-f77a-d8532e0b8e72,cc715e03-32af-2ca1-6b05-f9e7b12f8720,2011-01-01 00:00:00 +0000,,f,Senior Investment Director,t,f,f
d558ce87-721f-6c8c-6df6-5bbaa175a49d,f5ce3e37-7959-d604-71c7-90e860644052,2016-04-11 00:00:00 +0000,,t,Chief Investment Officer,t,f,f
34ef50e5-e321-f5c7-2062-51e573be1e96,a50397e8-d784-302f-64a5-f9ea749fc0d4,2011-01-01 00:00:00 +0000,2012-01-01 00:00:00 +0000,f,Team Member,t,f,f
34ef50e5-e321-f5c7-2062-51e573be1e96,0889e5b8-d573-0c0b-74e8-6eb77076e185,2016-04-10 00:00:00 +0000,,t,Principal Partner,t,t,f
7af68f89-ee56-257e-817d-cf2a9c74f8e5,89a27c86-6b63-876a-4f63-e81807bd98a6,2016-04-12 00:00:00 +0000,,t,"Principle, Beringea",f,f,t
ea031da8-ef49-798b-49bf-dd59d4ae799a,89a27c86-6b63-876a-4f63-e81807bd98a6,2016-04-12 00:00:00 +0000,,t,"Principle, Unilever Ventures",f,f,t
f2155e3f-e107-a452-04b6-5624af9a603c,5da8d6c5-56f7-ebc6-d450-f287b451107a,2016-04-11 00:00:00 +0000,,t,Account Executive,t,f,f
ba80067b-fccd-81a2-d740-992aad5a9bfc,5da8d6c5-56f7-ebc6-d450-f287b451107a,2016-04-11 00:00:00 +0000,,t,Enterprise Account Executive,t,f,f
bb07638a-5484-892a-0525-44e693ecc2d1,39a8ff78-2bb7-3cb0-74cd-aab7707c3533,2016-04-11 00:00:00 +0000,,t,Doer,t,f,f
4493a314-21bb-b872-bd59-e8b3d85fafe8,0637e9c0-3d3c-a217-303a-ea5429d88d9b,2016-04-12 00:00:00 +0000,,t,Recruiting Coordinator,t,f,f
209a5156-0d7d-9f19-050c-b7f8d70983e0,0637e9c0-3d3c-a217-303a-ea5429d88d9b,2016-04-11 00:00:00 +0000,,t,Head of Product,t,f,f
47a45707-b735-b410-9653-febd91b4c54b,a52d409f-114f-d83f-d94d-ef2ef3e07a15,2016-04-11 00:00:00 +0000,,t,Lead QA Engineer,t,t,f
aa62f13b-c265-85c1-8e5e-303869b7007e,002c45a3-032d-1b37-d298-df217157073f,2016-04-11 00:00:00 +0000,,t,Digital PR Executive,t,f,f
7d983347-b3f7-4b77-6bb5-55b4ee0a207a,45edf5a3-bfe9-f55f-afb0-4eec9bd8bebd,2016-04-08 00:00:00 +0000,,t,CIO,t,t,f
7d983347-b3f7-4b77-6bb5-55b4ee0a207a,e554c3bb-48eb-dee4-c23a-3942a1961586,2016-04-08 00:00:00 +0000,,t,CIO,t,t,f
9642462f-154d-d248-aa11-1d23ab08a64d,7dd54281-a976-f10c-5fc8-357dceddcf85,2016-04-11 00:00:00 +0000,,t,Junior Data Scientist,t,f,f
b86322f6-e382-098e-47f5-ccc6e3aa04e1,c23f6f9e-228a-d3ad-3df5-6a3d9ed1dc9c,2010-04-01 00:00:00 +0000,,f,Founder,t,t,f
cdede1d6-444c-12ef-e314-4e51ca5f3ceb,33492bb5-e12b-d17a-1bbf-f7d5487526c5,2016-04-11 00:00:00 +0000,,t,Founder,t,t,f
cdede1d6-444c-12ef-e314-4e51ca5f3ceb,fcb5b443-81bc-924e-8485-7b510d106e1d,2009-10-07 00:00:00 +0000,,t,Lead Designer,t,t,f
7d983347-b3f7-4b77-6bb5-55b4ee0a207a,8f81c14e-9b38-df62-d97e-b588e9a78c23,2015-12-01 00:00:00 +0000,,t,Director of Information Technology,t,t,f
ea4f4a5f-ed50-fe1c-77ac-cd73d45300e7,b95bb0bf-fcc0-785f-28eb-6298cdd8d5a5,2016-01-10 00:00:00 +0000,,t,Member of the board,f,f,t
ea4f4a5f-ed50-fe1c-77ac-cd73d45300e7,41845ea0-c4a9-713e-d855-faa5597bc6cd,2016-06-12 00:00:00 +0000,,t,Member of the board,f,f,t
ea4f4a5f-ed50-fe1c-77ac-cd73d45300e7,31490cf1-d234-4883-7df0-2c3277c6ec1e,2016-06-16 00:00:00 +0000,,t,Member of the board,f,f,t
ea4f4a5f-ed50-fe1c-77ac-cd73d45300e7,72eec248-3152-99de-e4cd-20caf2040d01,2016-04-10 00:00:00 +0000,,t,Member of the board,f,f,t
