org_uuid,parent_org_uuid,relationship_to_parent,created_at,updated_at
e26a483f-9b45-e603-792c-3442eea42daa,d994beb5-59cc-3f9d-8d29-0aea952a4937,Product (Malaysia),2016-04-16 03:09:56 +0000,2016-04-16 03:09:56 +0000
75118575-9912-6e02-b8da-c118f8d2d716,1dd75c3c-5689-e307-dbc0-fd02ddf309f1,Division,2016-04-15 23:28:38 +0000,2016-04-15 23:28:38 +0000
bde5be40-84d3-6e44-b993-d22910c37589,1dd75c3c-5689-e307-dbc0-fd02ddf309f1,Division,2016-04-15 23:28:21 +0000,2016-04-15 23:28:21 +0000
7c8f507b-fba8-0c6f-a36a-34ab76b61b4e,1dd75c3c-5689-e307-dbc0-fd02ddf309f1,Division,2016-04-15 23:24:00 +0000,2016-04-15 23:24:00 +0000
3393d01b-a662-6e23-ba6a-3c9393c4e73e,65fb148f-9051-a982-4697-185c675cc21b,Executive Order,2016-04-14 18:29:14 +0000,2016-04-14 18:29:14 +0000
c0f15243-fbc1-09c2-9566-b01f84b2c811,44f436dc-02bf-db00-83da-a4b3257eecd6,client,2016-04-14 07:37:19 +0000,2016-04-14 07:37:19 +0000
4fbbf110-f20d-de54-eee7-7ac9a5b6bf9e,922517b6-6ec3-f743-a4fe-60ba4daac7ec,Accelerator Program,2016-04-14 04:36:36 +0000,2016-04-14 04:36:36 +0000
24c2ed5c-68f5-efe9-337b-566d895c6818,9202ea97-b100-acdb-d621-4cb0a5b0c0da,Venture Program,2016-04-13 12:10:23 +0000,2016-04-13 12:10:23 +0000
6546f449-b7d1-3394-4310-b44c6e8c0de2,c0f15243-fbc1-09c2-9566-b01f84b2c811,Branch,2016-04-13 07:01:19 +0000,2016-04-13 07:01:19 +0000
09685a39-1253-f3b8-0ebc-ac62a10f1f7a,7643525c-2157-d3e7-39ac-372cbe75f4c9,Acquired in 2012,2016-04-12 16:17:49 +0000,2016-04-12 16:17:49 +0000
a38c6aed-4856-6161-6767-d96173dcd235,08ae29c4-4d57-7600-f67e-96c33bfd4946,Subsidiary,2016-04-12 13:08:05 +0000,2016-04-12 13:08:05 +0000
f87b4517-2c7b-07a2-e300-69f214ab6ce3,a97defa3-4623-4745-0242-df0fbc92e3b4,Sub Brand,2016-04-11 23:11:50 +0000,2016-04-11 23:11:50 +0000
41fe77ba-4054-34e9-b15e-9d476c73c6b7,4b6fd457-0509-53c1-db59-1f694f5ef77b,Innovation Company,2016-04-11 19:17:31 +0000,2016-04-11 19:17:31 +0000
f43a0458-bbdc-9627-c1d0-382ae21447f1,8c1cd4d3-f58d-84ba-b6b3-848ebb83297b,Product,2016-04-11 17:39:34 +0000,2016-04-11 17:39:34 +0000
7fff10c6-0b52-bb71-92c0-90d06ae27152,3f26b8fa-27aa-7c67-0e5d-016ad57783f7,Subsidiary,2016-04-11 06:34:55 +0000,2016-04-11 06:34:55 +0000
dcb15fcc-386b-b30e-cd1b-e307d957560d,8baeb14d-de2b-b2fb-a601-af75fc66fa8a,Venture Capital Arm,2016-04-11 04:04:32 +0000,2016-04-11 04:04:32 +0000
67329ff9-c088-28d8-9f10-ae6bd1376666,0b2936ea-77dc-be26-6a5e-57bdb0d83e02,Agency housed within the Houston Chronicle Media Group,2016-04-09 06:21:03 +0000,2016-04-09 06:21:03 +0000
2926f052-ab21-51a2-8075-f27ab3cabae9,c705d13c-ac31-dacb-9834-227d5ce05a52,Accelerator Program,2016-04-09 05:27:02 +0000,2016-04-09 05:27:02 +0000
c8435c0c-0772-df07-d18d-c67b9db5c7dd,86756632-b148-8a8a-89a4-703698975e30,Accelerator Program,2016-04-08 21:51:54 +0000,2016-04-08 21:51:54 +0000
0ec95c45-7352-9696-7d95-83da978cc092,a60ee240-7adb-3db7-bcc4-ad2fd310f92a,Product,2016-04-08 21:01:05 +0000,2016-04-08 21:01:05 +0000
c4ac959a-3452-c7c7-0710-df1f88088875,e554c3bb-48eb-dee4-c23a-3942a1961586,Enterprise Partner,2016-04-07 22:10:33 +0000,2016-04-07 22:10:33 +0000
22f5fa5f-fe1e-ad58-45af-ecb26f357f7d,e554c3bb-48eb-dee4-c23a-3942a1961586,Enterprise Partner,2016-04-07 22:09:59 +0000,2016-04-07 22:09:59 +0000
d64c2d79-90be-1c43-a925-ecac9d7e520d,e554c3bb-48eb-dee4-c23a-3942a1961586,Enterprise Partner,2016-04-07 22:09:29 +0000,2016-04-07 22:09:29 +0000
